summary_id,type,return_period,loss
1,1,1.385042,32729.416016
1,1,1.383126,32670.568359
1,1,1.381215,32422.322266
1,1,1.379310,31647.494141
1,1,1.377410,31474.671875
1,1,1.375516,31252.880859
1,1,1.373626,29420.724609
1,1,1.371742,29108.330078
1,1,1.369863,29074.494141
1,1,1.367989,27895.105469
1,1,1.366120,27714.949219
1,1,1.364256,26881.083984
1,1,1.362398,26350.851562
1,1,1.360544,26348.755859
1,1,1.358696,24867.767578
1,1,1.356852,24576.478516
1,1,1.355014,24222.363281
1,1,1.353180,24202.072266
1,1,1.351351,23474.791016
1,1,1.349528,22672.113281
1,1,1.347709,21682.964844
1,1,1.345895,21584.513672
1,1,1.344086,21083.738281
1,1,1.342282,20418.349609
1,1,1.340483,19824.656250
1,1,1.338688,18102.792969
1,1,1.336898,17803.367188
1,1,1.335113,17696.468750
1,1,1.333333,16998.599609
1,1,1.331558,16205.560547
1,1,1.329787,15642.907227
1,1,1.328021,15115.547852
1,1,1.326260,12507.468750
1,1,1.324503,11852.185547
1,1,1.322751,11807.636719
1,1,1.321004,11513.387695
1,1,1.319261,11505.299805
1,1,1.317523,9386.327148
1,1,1.315789,8696.764648
1,1,1.314060,6963.046387
1,1,1.312336,754.791748
1,2,1000.000000,176990.203125
1,2,500.000000,176287.578125
1,2,333.333333,171024.796875
1,2,250.000000,170350.750000
1,2,200.000000,169988.218750
1,2,166.666667,169768.796875
1,2,142.857143,169000.796875
1,2,125.000000,167607.859375
1,2,111.111111,167182.000000
1,2,100.000000,166127.531250
1,2,90.909091,165292.390625
1,2,83.333333,165148.281250
1,2,76.923077,163452.921875
1,2,71.428571,162443.156250
1,2,66.666667,161116.796875
1,2,62.500000,160491.500000
1,2,58.823529,160404.687500
1,2,55.555556,160206.859375
1,2,52.631579,159542.984375
1,2,50.000000,159540.296875
1,2,47.619048,159510.218750
1,2,45.454545,158865.281250
1,2,43.478261,158400.437500
1,2,41.666667,157993.359375
1,2,40.000000,157860.500000
1,2,38.461538,157327.718750
1,2,37.037037,156795.843750
1,2,35.714286,156463.203125
1,2,34.482759,156460.515625
