event_id,output_id,sidx,loss
19,2,-3,98290.60
19,2,-1,5594.12
19,2,1,3902.94
19,3,-3,49145.30
19,3,-1,519.42
19,3,1,790.03
19,4,-3,19658.12
19,4,-1,841.23
19,4,1,616.23
19,5,-3,982906.00
19,5,-1,56759.95
19,5,1,23718.43
19,6,-3,98290.60
19,6,-1,1348.09
19,6,1,6784.10
19,7,-3,49145.30
19,7,-1,1611.44
19,7,1,894.34
19,8,-3,19658.12
19,8,-1,1266.32
19,8,1,720.29
20,1,-3,982906.00
20,1,-1,67641.84
20,1,1,20019.86
20,2,-3,98290.60
20,2,-1,6424.26
20,2,1,4318.21
20,3,-3,49145.30
20,3,-1,2836.14
20,3,1,1350.61
20,4,-3,19658.12
20,4,-1,285.61
20,4,1,681.16
20,5,-3,982906.00
20,5,-1,67302.72
20,5,1,35700.26
20,6,-3,98290.60
20,6,-1,2572.60
20,6,1,667.60
20,7,-3,49145.30
20,7,-1,1112.52
20,7,1,1143.66
20,8,-3,19658.12
20,8,-1,513.41
20,8,1,592.67
21,1,-3,982906.00
21,1,-1,65091.10
21,1,1,35954.29
21,2,-3,98290.60
21,2,-1,7684.77
21,2,1,608.65
21,3,-3,49145.30
21,3,-1,1116.92
21,3,1,1606.07
21,4,-3,19658.12
21,4,-1,304.03
21,4,1,1246.09
21,5,-3,982906.00
21,5,-1,57463.80
21,5,1,64656.33
21,6,-3,98290.60
21,6,-1,2613.32
21,6,1,6211.13
21,7,-3,49145.30
21,7,-1,3189.78
21,7,1,2342.54
21,8,-3,19658.12
21,8,-1,277.14
21,8,1,276.83
22,1,-3,982906.00
22,1,-1,77278.88
22,1,1,55047.59
22,2,-3,98290.60
22,2,-1,1333.97
22,2,1,1427.67
22,3,-3,49145.30
22,3,-1,1543.27
22,3,1,2313.32
22,4,-3,19658.12
22,4,-1,356.87
22,4,1,25.00
22,5,-3,982906.00
22,5,-1,79148.86
22,5,1,1496.93
22,6,-3,98290.60
22,6,-1,7398.63
22,6,1,3597.63
22,7,-3,49145.30
22,7,-1,2138.53
22,7,1,199.52
22,8,-3,19658.12
22,8,-1,357.16
22,8,1,129.10
23,1,-3,982906.00
23,1,-1,36588.84
23,1,1,45081.34
23,2,-3,98290.60
23,2,-1,2309.74
23,2,1,6103.55
23,3,-3,49145.30
23,3,-1,3026.06
23,3,1,1660.70
23,4,-3,19658.12
23,4,-1,238.12
23,4,1,486.87
23,5,-3,982906.00
23,5,-1,40374.08
23,5,1,9189.49
23,6,-3,98290.60
23,6,-1,6425.21
23,6,1,2130.53
23,7,-3,49145.30
23,7,-1,2053.44
23,7,1,2773.76
23,8,-3,19658.12
23,8,-1,807.17
23,8,1,1173.59
24,1,-3,982906.00
24,1,-1,72538.49
24,1,1,7899.47
24,2,-3,98290.60
24,2,-1,405.19
24,2,1,3558.42
24,3,-3,49145.30
24,3,-1,2403.18
24,3,1,1380.16
24,4,-3,19658.12
24,4,-1,1213.79
24,4,1,303.29
24,5,-3,982906.00
24,5,-1,55692.44
24,5,1,14586.05
24,6,-3,98290.60
24,6,-1,2379.50
24,6,1,69.39
24,7,-3,49145.30
24,7,-1,2587.16
24,7,1,2358.10
24,8,-3,19658.12
24,8,-1,845.49
24,8,1,298.13
25,1,-3,982906.00
25,1,-1,5349.84
25,1,1,24736.72
25,2,-3,98290.60
25,2,-1,2246.33
25,2,1,3261.04
25,3,-3,49145.30
25,3,-1,401.31
25,3,1,754.98
25,4,-3,19658.12
25,4,-1,470.52
25,4,1,1187.70
25,5,-3,982906.00
25,5,-1,443.81
25,5,1,63446.92
25,6,-3,98290.60
25,6,-1,1076.54
25,6,1,3025.44
25,7,-3,49145.30
25,7,-1,946.41
25,7,1,2029.62
25,8,-3,19658.12
25,8,-1,253.64
25,8,1,866.46
26,1,-3,982906.00
26,1,-1,15915.59
26,1,1,76000.55
